ISO,Country,Data source,Sector,Gas,Unit,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
CHN,China,Climate Watch,Total including LUCF,All GHG,MtCO₂e,12791.58,12119.66,11953.6,11752.8,11256.52,11028.2,10976.57,11102.92,11033.52,10551.52,10266.06,9776.66,8955.38,8388.05,8134.35,7533.82,6862.75,6099.63,5344.61,4681.69,4390.73,4185.16
IDN,Indonesia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,1484.66,1481.59,1919.32,1648.05,1393.73,1390.59,2020.62,1981.44,1611.99,1667.06,1645.82,1085.33,1439.9,1039.74,1056.4,1613.8,1187.78,1460.57,1111.78,1445.36,960.01,1130.23
JPN,Japan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,1071.59,1064.38,1126.04,1167.48,1210.92,1227.46,1219.55,1256.7,1303.35,1287.52,1244.12,1137.38,1079.94,1137.51,1207.38,1172.07,1192.58,1186.04,1196.15,1189.39,1159.09,1203.08
KOR,South Korea,Climate Watch,Total including LUCF,All GHG,MtCO₂e,632.43,614.66,654.42,669.75,662.97,649.4,634.41,613.45,623.98,623.77,620.42,586.72,535.08,521.33,508.55,498.52,490.22,495.16,469.56,461.57,459.36,466.17
AUS,Australia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,576.4,580.76,630.85,643.14,646.2,600.4,592.53,595.4,578.38,661.95,659.37,619.31,638.51,620.15,649.65,648.12,601.65,638.42,587.61,663.85,667.46,660.32
VNM,Vietnam,Climate Watch,Total including LUCF,All GHG,MtCO₂e,457.05,464.89,451.19,394.39,335.32,326.93,295.57,274.67,260.81,245.94,244.74,281.2,262.65,239.58,230.47,216.02,211.98,202.26,181.16,175.64,159.4,64.91
THA,Thailand,Climate Watch,Total including LUCF,All GHG,MtCO₂e,449.51,451.84,451.55,434.59,433.14,424.58,398.44,395.61,397.96,388.8,364.34,332.07,309.76,313.11,311.96,294.61,291.19,283.62,260.81,250.41,237.01,271.09
MYS,Malaysia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,366.28,364.3,374.08,367.73,344.84,360.82,173.76,189.48,156.98,135.12,134.98,358.59,345.96,350.68,339.66,315.48,319.22,304.18,279.38,270.45,253.99,262.96
PHL,Philippines,Climate Watch,Total including LUCF,All GHG,MtCO₂e,237.6,226.56,236.86,229.33,222.82,205.53,194.22,185.21,177.81,166.88,161.86,160.19,154.33,151.5,148.24,142.26,148.84,147.59,144.27,141.31,139.43,140.25
MMR,Myanmar,Climate Watch,Total including LUCF,All GHG,MtCO₂e,211.92,222.17,212.8,212.43,233.05,218.52,225.87,219.69,212.04,209.68,200.61,231.23,225.73,214.82,229.79,218.56,214.67,224.79,210.5,196.51,196.83,217.72
PRK,North Korea,Climate Watch,Total including LUCF,All GHG,MtCO₂e,83.86,95.52,99.85,92.93,99.62,61.09,57.58,66.93,62.77,73.64,74.89,91.34,93.1,94.69,86.53,99.42,97.21,93.91,91.37,89.65,93.31,94.76
MNG,Mongolia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,78.87,76.32,79.35,75.86,73.98,71.17,68.96,67.58,65.03,62.51,59.13,56.33,59.12,57.98,57.78,55.0,52.06,49.3,49.46,49.7,51.47,54.77
KHM,Cambodia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,76.91,76.54,75.15,71.49,70.74,67.96,101.61,99.73,99.41,98.97,101.44,36.42,37.41,36.07,36.32,35.28,31.44,32.98,31.97,29.47,26.34,26.37
NZL,New Zealand,Climate Watch,Total including LUCF,All GHG,MtCO₂e,70.58,70.34,73.39,72.29,73.02,71.39,66.65,67.29,66.66,67.14,64.53,58.93,58.79,61.69,61.67,62.87,62.73,61.33,61.9,59.41,58.21,52.43
SGP,Singapore,Climate Watch,Total including LUCF,All GHG,MtCO₂e,67.34,64.25,64.95,64.23,65.77,62.69,62.33,60.61,59.44,58.54,58.94,55.9,52.14,51.58,51.28,50.0,49.57,52.29,50.83,53.98,54.74,54.82
PNG,Papua New Guinea,Climate Watch,Total including LUCF,All GHG,MtCO₂e,53.29,53.86,53.02,52.99,51.89,51.82,52.18,49.42,47.8,46.61,45.93,37.87,37.87,37.68,38.12,38.18,38.17,39.64,38.49,38.53,37.79,38.03
SLB,Solomon Islands,Climate Watch,Total including LUCF,All GHG,MtCO₂e,46.36,46.32,46.3,46.28,46.24,46.21,-17.04,-17.02,-16.99,-17.04,-17.06,2.43,2.41,2.39,2.37,2.35,2.33,2.31,2.28,2.27,2.25,4.45
LAO,Laos,Climate Watch,Total including LUCF,All GHG,MtCO₂e,44.86,43.91,40.88,39.97,39.66,38.49,29.99,25.29,25.04,23.93,21.79,29.47,25.29,23.89,29.09,23.34,24.57,27.53,22.69,22.11,20.85,20.33
BRN,Brunei,Climate Watch,Total including LUCF,All GHG,MtCO₂e,12.04,12.06,9.87,10.05,9.76,9.37,8.64,9.45,9.49,9.7,9.75,10.41,11.12,11.35,10.46,10.96,8.24,8.38,8.93,7.78,7.81,7.86
TLS,Timor-Leste,Climate Watch,Total including LUCF,All GHG,MtCO₂e,6.21,6.18,6.54,6.56,6.82,7.0,7.18,7.25,7.26,7.38,7.39,7.5,7.2,6.88,6.5,6.21,5.85,4.87,4.09,3.25,2.18,1.12
WSM,Samoa,Climate Watch,Total including LUCF,All GHG,MtCO₂e,0.7,0.68,0.69,0.68,0.7,0.7,0.71,0.67,0.65,0.65,0.65,0.63,0.59,0.58,0.6,0.59,0.6,0.59,0.58,0.58,0.57,0.54
VUT,Vanuatu,Climate Watch,Total including LUCF,All GHG,MtCO₂e,0.69,0.68,0.65,0.69,0.61,0.64,0.71,0.78,0.73,0.73,0.73,0.71,0.69,0.7,0.69,0.57,0.56,0.55,0.57,0.55,0.55,0.57
TON,Tonga,Climate Watch,Total including LUCF,All GHG,MtCO₂e,0.35,0.34,0.31,0.28,0.28,0.27,0.25,0.26,0.26,0.25,0.25,0.26,0.28,0.26,0.26,0.27,0.25,0.25,0.26,0.23,0.23,0.23
PLW,Palau,Climate Watch,Total including LUCF,All GHG,MtCO₂e,0.26,0.25,0.25,0.24,0.24,0.23,0.24,0.24,0.25,0.25,0.24,0.24,0.23,0.23,0.24,0.25,0.25,0.24,0.23,0.23,0.23,0.23
FSM,Micronesia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.16,0.15,0.19,0.15,0.17,0.16,0.16,0.19,0.2,0.19,0.21,0.22
MHL,Marshall Islands,Climate Watch,Total including LUCF,All GHG,MtCO₂e,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.15,0.15,0.15,0.15,0.14,0.13
KIR,Kiribati,Climate Watch,Total including LUCF,All GHG,MtCO₂e,0.11,0.1,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.06,0.06,0.06,0.06
COK,Cook Islands,Climate Watch,Total including LUCF,All GHG,MtCO₂e,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.07,0.05
NRU,Nauru,Climate Watch,Total including LUCF,All GHG,MtCO₂e,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.07,0.07,0.07,0.08,0.09,0.09
TUV,Tuvalu,Climate Watch,Total including LUCF,All GHG,MtCO₂e,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02
NIU,Niue,Climate Watch,Total including LUCF,All GHG,MtCO₂e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
FJI,Fiji,Climate Watch,Total including LUCF,All GHG,MtCO₂e,-0.84,-0.81,-0.37,-0.49,-0.55,-0.73,-0.66,-0.72,-0.36,-0.5,-0.47,-0.37,-0.68,-0.58,-0.31,-0.25,-0.36,-0.11,-0.42,-0.55,-0.37,-0.6
